21, 4, 1, 1
71, 10, 6, 3
7, 2, 0, 0
23, 5, 2, 2
32, 10, 2, 1
24, 5, 1, 1
20, 7, 2, 2
26, 7, 2, 2
37, 6, 2, 2
22, 4, 0, 0
32, 6, 3, 2
6, 2, 0, 0
19, 4, 3, 2
27, 4, 1, 1
14, 5, 0, 0
42, 8, 3, 1
19, 3, 0, 0
4, 1, 0, 0
32, 5, 8, 2
397, 65, 179, 46
14, 4, 0, 0
26, 12, 0, 0
4, 2, 0, 0
10, 4, 2, 2
53, 10, 0, 0
36, 7, 3, 2
40, 9, 1, 1
42, 8, 4, 3
27, 5, 2, 1
17, 4, 3, 2
34, 6, 1, 1
33, 6, 4, 2
6, 2, 0, 0
6, 2, 0, 0
7, 2, 0, 0
24, 4, 1, 1
28, 5, 5, 3
10, 3, 0, 0
11, 5, 1, 1
21, 5, 0, 0
10, 3, 2, 2
38, 7, 2, 1
10, 3, 1, 1
14, 3, 0, 0
15, 4, 1, 1
33, 6, 3, 2
13, 4, 0, 0
42, 7, 3, 2
11, 4, 1, 1
28, 5, 0, 0
25, 4, 1, 1
11, 6, 0, 0
6, 2, 0, 0
19, 6, 2, 1
15, 3, 0, 0
15, 4, 0, 0
32, 6, 4, 2
13, 4, 0, 0
